parcel_id,parcel_description,parcel_category,parcel_name,parcel_weight
993689280,A pet supplies item named dog food.,Pet Supplies,Dog Food,9.1
306043818,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,5.86
263483617,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,8.99
283500617,A cell phones & accessories item named smartphone case.,Cell Phones & Accessories,Smartphone Case,14.67
664596993,A musical instruments item named guitar.,Musical Instruments,Guitar,4.03
51972441,A entertainment collectibles item named autographed poster.,Entertainment Collectibles,Autographed Poster,6.17
80202901,A pet supplies item named dog food.,Pet Supplies,Dog Food,13.16
655078363,A outdoors item named tent.,Outdoors,Tent,7.19
935106875,A pet supplies item named dog food.,Pet Supplies,Dog Food,13.77
471901871,A camera & photo item named dslr camera.,Camera & Photo,DSLR Camera,9.45
20919406,A toys & games item named lego set.,Toys & Games,Lego Set,4.88
85255277,A beauty item named lipstick.,Beauty,Lipstick,14.51
725381857,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,10.55
892827209,A entertainment collectibles item named autographed poster.,Entertainment Collectibles,Autographed Poster,2.81
418101212,A fine art item named painting.,Fine Art,Painting,2.04
793195542,A cell phones & accessories item named smartphone case.,Cell Phones & Accessories,Smartphone Case,13.3
230811904,A pet supplies item named dog food.,Pet Supplies,Dog Food,3.94
600952298,A toys & games item named lego set.,Toys & Games,Lego Set,13.94
271640536,A pet supplies item named dog food.,Pet Supplies,Dog Food,8.22
991015946,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,0.71
618793775,A kindle accessories and amazon fire tv accessories item named kindle cover.,Kindle Accessories and Amazon Fire TV Accessories,Kindle Cover,2.77
814063023,A books item named novel.,Books,Novel,2.57
226482671,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,1.58
768716939,A major appliances item named washing machine.,Major Appliances,Washing Machine,9.18
202744877,A books item named novel.,Books,Novel,14.6
655284514,A software item named antivirus software.,Software,Antivirus Software,12.53
432950332,A grocery & gourmet foods item named organic snacks.,Grocery & Gourmet Foods,Organic Snacks,11.23
296169367,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,1.21
84807732,A software item named antivirus software.,Software,Antivirus Software,0.67
315622020,A watches item named watch.,Watches,Watch,14.78
829770376,A fine art item named painting.,Fine Art,Painting,8.77
320701473,A home & garden item named garden tools.,Home & Garden,Garden Tools,7.02
275181896,"A video, dvd & blu-ray item named dvd box set.","Video, DVD & Blu-ray",DVD Box Set,3.22
71090336,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,13.2
560090214,A toys & games item named lego set.,Toys & Games,Lego Set,2.7
690372865,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,12.68
46178900,A fine art item named painting.,Fine Art,Painting,7.76
159434084,A personal computers item named laptop.,Personal Computers,Laptop,9.8
117593159,A personal computers item named laptop.,Personal Computers,Laptop,2.33
531166637,A camera & photo item named dslr camera.,Camera & Photo,DSLR Camera,9.1
760825720,A independent design item named handmade jewelry.,Independent Design,Handmade Jewelry,11.04
256225266,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,14.54
470840689,A independent design item named handmade jewelry.,Independent Design,Handmade Jewelry,5.87
190358755,A office products item named printer.,Office Products,Printer,14.46
285384698,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,6.8
761367853,A books item named novel.,Books,Novel,12.16
925653661,A toys & games item named lego set.,Toys & Games,Lego Set,11.48
577448852,A beauty item named lipstick.,Beauty,Lipstick,3.99
359078243,A major appliances item named washing machine.,Major Appliances,Washing Machine,5.11
387228041,"A video, dvd & blu-ray item named dvd box set.","Video, DVD & Blu-ray",DVD Box Set,0.97
137965599,A camera & photo item named dslr camera.,Camera & Photo,DSLR Camera,3.08
128963669,A consumer electronics item named headphones.,Consumer Electronics,Headphones,9.19
827762614,A sports item named basketball.,Sports,Basketball,4.24
323432522,A kindle accessories and amazon fire tv accessories item named kindle cover.,Kindle Accessories and Amazon Fire TV Accessories,Kindle Cover,13.43
575605008,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,0.67
210041330,A office products item named printer.,Office Products,Printer,5.32
311310298,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,13.19
984755588,A pet supplies item named dog food.,Pet Supplies,Dog Food,14.36
378034484,A personal computers item named laptop.,Personal Computers,Laptop,14.23
472721725,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,11.2
988935862,A fine art item named painting.,Fine Art,Painting,7.35
544650256,A toys & games item named lego set.,Toys & Games,Lego Set,3.97
129847418,A office products item named printer.,Office Products,Printer,12.33
869569032,"A video, dvd & blu-ray item named dvd box set.","Video, DVD & Blu-ray",DVD Box Set,14.51
271119446,A personal computers item named laptop.,Personal Computers,Laptop,13.89
999635950,A video games item named video game.,Video Games,Video Game,1.66
292684466,A music and dvd item named dvd box set.,Music and DVD,DVD Box Set,6.4
947480829,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,12.91
308974299,A sports item named basketball.,Sports,Basketball,6.2
683390212,A consumer electronics item named headphones.,Consumer Electronics,Headphones,0.97
967058310,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,6.31
837311789,A beauty item named lipstick.,Beauty,Lipstick,2.68
415219465,A personal computers item named laptop.,Personal Computers,Laptop,5.99
919417788,A grocery & gourmet foods item named organic snacks.,Grocery & Gourmet Foods,Organic Snacks,13.81
497402745,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,14.65
250900705,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,13.51
447639728,A automotive & powersports item named car battery.,Automotive & Powersports,Car Battery,9.11
285591780,"A video, dvd & blu-ray item named dvd box set.","Video, DVD & Blu-ray",DVD Box Set,14.34
96529978,A kindle accessories and amazon fire tv accessories item named kindle cover.,Kindle Accessories and Amazon Fire TV Accessories,Kindle Cover,13.45
102456547,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,11.31
197391601,A software item named antivirus software.,Software,Antivirus Software,10.45
662731621,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,2.41
978533216,A personal computers item named laptop.,Personal Computers,Laptop,11.09
922975935,A independent design item named handmade jewelry.,Independent Design,Handmade Jewelry,13.28
910198555,A grocery & gourmet foods item named organic snacks.,Grocery & Gourmet Foods,Organic Snacks,7.68
88242667,"A video, dvd & blu-ray item named dvd box set.","Video, DVD & Blu-ray",DVD Box Set,14.36
469062569,A pet supplies item named dog food.,Pet Supplies,Dog Food,3.72
334689396,A entertainment collectibles item named autographed poster.,Entertainment Collectibles,Autographed Poster,12.4
893681198,A beauty item named lipstick.,Beauty,Lipstick,10.75
469931450,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,4.23
249823081,A musical instruments item named guitar.,Musical Instruments,Guitar,11.31
327814447,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,7.09
102511131,A sports item named basketball.,Sports,Basketball,4.43
649297829,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,6.86
652936523,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,12.43
737416518,A office products item named printer.,Office Products,Printer,4.04
870549087,A music and dvd item named dvd box set.,Music and DVD,DVD Box Set,3.27
484902580,A software item named antivirus software.,Software,Antivirus Software,9.29
92551010,A books item named novel.,Books,Novel,0.91
410561459,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,4.15
517994520,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,7.16
956324062,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,4.22
287311285,A musical instruments item named guitar.,Musical Instruments,Guitar,12.89
981549757,A office products item named printer.,Office Products,Printer,8.52
861650507,A automotive & powersports item named car battery.,Automotive & Powersports,Car Battery,9.3
336360382,A kindle accessories and amazon fire tv accessories item named kindle cover.,Kindle Accessories and Amazon Fire TV Accessories,Kindle Cover,1.1
658497165,A sports item named basketball.,Sports,Basketball,4.39
654102940,A pet supplies item named dog food.,Pet Supplies,Dog Food,12.47
655250405,A pet supplies item named dog food.,Pet Supplies,Dog Food,1.16
577857270,A consumer electronics item named headphones.,Consumer Electronics,Headphones,14.37
57315354,A consumer electronics item named headphones.,Consumer Electronics,Headphones,2.93
904879110,A home & garden item named garden tools.,Home & Garden,Garden Tools,14.57
173252959,A kindle accessories and amazon fire tv accessories item named kindle cover.,Kindle Accessories and Amazon Fire TV Accessories,Kindle Cover,10.08
660058818,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,8.08
868290276,A sports item named basketball.,Sports,Basketball,10.73
849421909,A fine art item named painting.,Fine Art,Painting,3.31
681866620,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,7.47
219653386,A toys & games item named lego set.,Toys & Games,Lego Set,13.41
338215898,A independent design item named handmade jewelry.,Independent Design,Handmade Jewelry,1.71
925041253,A toys & games item named lego set.,Toys & Games,Lego Set,13.27
692380992,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,9.79
20043629,A beauty item named lipstick.,Beauty,Lipstick,3.0
644845321,A automotive & powersports item named car battery.,Automotive & Powersports,Car Battery,8.71
853250593,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,14.55
185526916,A automotive & powersports item named car battery.,Automotive & Powersports,Car Battery,13.14
567556538,A major appliances item named washing machine.,Major Appliances,Washing Machine,7.83
548245968,A kindle accessories and amazon fire tv accessories item named kindle cover.,Kindle Accessories and Amazon Fire TV Accessories,Kindle Cover,7.74
115036838,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,12.85
836591333,A major appliances item named washing machine.,Major Appliances,Washing Machine,5.33
757967280,A video games item named video game.,Video Games,Video Game,2.95
553401078,A pet supplies item named dog food.,Pet Supplies,Dog Food,0.55
525886784,A personal computers item named laptop.,Personal Computers,Laptop,13.14
857097696,A independent design item named handmade jewelry.,Independent Design,Handmade Jewelry,10.44
238165398,A office products item named printer.,Office Products,Printer,1.92
232360755,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,12.41
76228744,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,1.3
764921390,A major appliances item named washing machine.,Major Appliances,Washing Machine,2.62
292625061,A cell phones & accessories item named smartphone case.,Cell Phones & Accessories,Smartphone Case,5.37
676043816,A musical instruments item named guitar.,Musical Instruments,Guitar,8.56
736698449,A music and dvd item named dvd box set.,Music and DVD,DVD Box Set,9.77
596924460,A major appliances item named washing machine.,Major Appliances,Washing Machine,12.17
234854589,A fine art item named painting.,Fine Art,Painting,8.76
435745925,A outdoors item named tent.,Outdoors,Tent,12.13
790861117,A books item named novel.,Books,Novel,5.59
891286673,A major appliances item named washing machine.,Major Appliances,Washing Machine,2.32
238467765,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,2.77
8721743,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,7.99
307362060,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,8.15
116733860,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,7.53
286792419,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,6.45
104111135,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,9.65
797289443,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,10.92
159433681,A beauty item named lipstick.,Beauty,Lipstick,3.97
108435578,A major appliances item named washing machine.,Major Appliances,Washing Machine,9.45
376625945,A personal computers item named laptop.,Personal Computers,Laptop,13.02
551239516,A automotive & powersports item named car battery.,Automotive & Powersports,Car Battery,13.99
934430375,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,13.76
828202156,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,14.95
323953341,A independent design item named handmade jewelry.,Independent Design,Handmade Jewelry,12.11
532422732,A outdoors item named tent.,Outdoors,Tent,6.67
648350289,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,13.48
653882080,A fine art item named painting.,Fine Art,Painting,3.32
855837431,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,5.86
624080518,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,3.57
546728743,A independent design item named handmade jewelry.,Independent Design,Handmade Jewelry,8.41
138857180,A pet supplies item named dog food.,Pet Supplies,Dog Food,4.63
660438836,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,1.34
74035298,A books item named novel.,Books,Novel,11.45
427978653,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,14.45
465793812,A personal computers item named laptop.,Personal Computers,Laptop,9.07
708963915,A pet supplies item named dog food.,Pet Supplies,Dog Food,10.95
515435256,A grocery & gourmet foods item named organic snacks.,Grocery & Gourmet Foods,Organic Snacks,5.46
798217058,A software item named antivirus software.,Software,Antivirus Software,8.78
464096574,A home & garden item named garden tools.,Home & Garden,Garden Tools,8.59
427448377,A personal computers item named laptop.,Personal Computers,Laptop,2.89
600254542,A video games item named video game.,Video Games,Video Game,8.61
902172999,A musical instruments item named guitar.,Musical Instruments,Guitar,5.86
956140052,A musical instruments item named guitar.,Musical Instruments,Guitar,5.21
678619455,A independent design item named handmade jewelry.,Independent Design,Handmade Jewelry,7.7
251710372,A fine art item named painting.,Fine Art,Painting,5.44
966660658,A camera & photo item named dslr camera.,Camera & Photo,DSLR Camera,11.45
693939957,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,10.36
885823144,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,6.06
796983734,A personal computers item named laptop.,Personal Computers,Laptop,13.66
603819415,A home & garden item named garden tools.,Home & Garden,Garden Tools,2.74
438653982,A grocery & gourmet foods item named organic snacks.,Grocery & Gourmet Foods,Organic Snacks,9.82
32274234,A major appliances item named washing machine.,Major Appliances,Washing Machine,13.32
755394575,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,13.66
693228930,A consumer electronics item named headphones.,Consumer Electronics,Headphones,8.45
103550811,A cell phones & accessories item named smartphone case.,Cell Phones & Accessories,Smartphone Case,6.6
677881563,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,10.48
9730200,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,5.35
594534396,A video games item named video game.,Video Games,Video Game,12.06
496127190,A software item named antivirus software.,Software,Antivirus Software,14.77
102785991,A office products item named printer.,Office Products,Printer,13.98
663549191,A outdoors item named tent.,Outdoors,Tent,9.82
678886394,A sports item named basketball.,Sports,Basketball,4.17
607445704,A sports item named basketball.,Sports,Basketball,5.26
767444945,A musical instruments item named guitar.,Musical Instruments,Guitar,4.12
243720018,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,1.24
898275824,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,13.39
267830629,A software item named antivirus software.,Software,Antivirus Software,7.33
542959142,A automotive & powersports item named car battery.,Automotive & Powersports,Car Battery,3.28
319831367,A automotive & powersports item named car battery.,Automotive & Powersports,Car Battery,4.49
626299833,A video games item named video game.,Video Games,Video Game,3.63
980849461,A video games item named video game.,Video Games,Video Game,5.36
832170152,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,12.32
384376652,A books item named novel.,Books,Novel,9.28
992590619,A software item named antivirus software.,Software,Antivirus Software,11.22
189505142,A consumer electronics item named headphones.,Consumer Electronics,Headphones,13.74
694605176,A toys & games item named lego set.,Toys & Games,Lego Set,13.57
684353546,"A video, dvd & blu-ray item named dvd box set.","Video, DVD & Blu-ray",DVD Box Set,2.29
305227815,A grocery & gourmet foods item named organic snacks.,Grocery & Gourmet Foods,Organic Snacks,3.14
569418164,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,12.66
406707535,A watches item named watch.,Watches,Watch,1.9
107607642,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,9.88
886693373,A toys & games item named lego set.,Toys & Games,Lego Set,6.86
237128711,A toys & games item named lego set.,Toys & Games,Lego Set,3.87
25154194,A cell phones & accessories item named smartphone case.,Cell Phones & Accessories,Smartphone Case,12.57
513009942,A office products item named printer.,Office Products,Printer,1.88
464379095,A grocery & gourmet foods item named organic snacks.,Grocery & Gourmet Foods,Organic Snacks,3.46
192438342,A automotive & powersports item named car battery.,Automotive & Powersports,Car Battery,3.33
712766759,A grocery & gourmet foods item named organic snacks.,Grocery & Gourmet Foods,Organic Snacks,13.68
860268125,A music and dvd item named dvd box set.,Music and DVD,DVD Box Set,1.09
449095315,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,10.04
257473441,A video games item named video game.,Video Games,Video Game,11.99
670578327,A fine art item named painting.,Fine Art,Painting,1.49
229437634,A automotive & powersports item named car battery.,Automotive & Powersports,Car Battery,0.87
424281963,"A video, dvd & blu-ray item named dvd box set.","Video, DVD & Blu-ray",DVD Box Set,7.55
982789157,A software item named antivirus software.,Software,Antivirus Software,8.96
377114446,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,6.14
108112424,A video games item named video game.,Video Games,Video Game,8.69
941599098,A books item named novel.,Books,Novel,3.53
157623052,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,14.4
694710970,A office products item named printer.,Office Products,Printer,8.82
525456892,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,4.22
456904853,A software item named antivirus software.,Software,Antivirus Software,7.91
565988337,A beauty item named lipstick.,Beauty,Lipstick,4.56
738553203,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,12.65
711246867,A major appliances item named washing machine.,Major Appliances,Washing Machine,3.91
65498207,A grocery & gourmet foods item named organic snacks.,Grocery & Gourmet Foods,Organic Snacks,14.92
733061441,A books item named novel.,Books,Novel,9.36
841792493,A musical instruments item named guitar.,Musical Instruments,Guitar,12.89
624784201,A books item named novel.,Books,Novel,4.85
393690183,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,11.46
616618240,A entertainment collectibles item named autographed poster.,Entertainment Collectibles,Autographed Poster,5.95
415963369,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,13.38
45932467,A sports collectibles item named signed jersey.,Sports Collectibles,Signed Jersey,13.67
921942150,A musical instruments item named guitar.,Musical Instruments,Guitar,12.15
767671576,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,7.43
899589248,A home & garden item named garden tools.,Home & Garden,Garden Tools,7.49
576503822,A major appliances item named washing machine.,Major Appliances,Washing Machine,7.88
650861453,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,13.19
514809250,A musical instruments item named guitar.,Musical Instruments,Guitar,8.54
551598244,A toys & games item named lego set.,Toys & Games,Lego Set,13.21
745730618,A personal computers item named laptop.,Personal Computers,Laptop,1.56
27712695,A outdoors item named tent.,Outdoors,Tent,8.05
950405679,A major appliances item named washing machine.,Major Appliances,Washing Machine,2.03
81162252,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,0.59
171015547,A automotive & powersports item named car battery.,Automotive & Powersports,Car Battery,0.89
929139367,A major appliances item named washing machine.,Major Appliances,Washing Machine,0.61
472459548,A home & garden item named garden tools.,Home & Garden,Garden Tools,9.28
740798380,A cell phones & accessories item named smartphone case.,Cell Phones & Accessories,Smartphone Case,6.92
811429983,"A video, dvd & blu-ray item named dvd box set.","Video, DVD & Blu-ray",DVD Box Set,8.48
964511044,A office products item named printer.,Office Products,Printer,1.26
6831597,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,7.69
775057134,A independent design item named handmade jewelry.,Independent Design,Handmade Jewelry,5.71
198299183,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,8.25
494201319,A music and dvd item named dvd box set.,Music and DVD,DVD Box Set,2.39
994695943,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,13.58
428185018,A office products item named printer.,Office Products,Printer,13.36
353189247,A cell phones & accessories item named smartphone case.,Cell Phones & Accessories,Smartphone Case,2.69
530428019,A home & garden item named garden tools.,Home & Garden,Garden Tools,12.75
247712460,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,7.6
290067664,A cell phones & accessories item named smartphone case.,Cell Phones & Accessories,Smartphone Case,4.53
749167585,A office products item named printer.,Office Products,Printer,9.1
542558448,A cell phones & accessories item named smartphone case.,Cell Phones & Accessories,Smartphone Case,9.07
918605369,A fine art item named painting.,Fine Art,Painting,11.12
410377964,A outdoors item named tent.,Outdoors,Tent,5.75
728121728,A home & garden item named garden tools.,Home & Garden,Garden Tools,5.95
972070102,A outdoors item named tent.,Outdoors,Tent,12.13
928182910,A sports item named basketball.,Sports,Basketball,2.48
863345769,A beauty item named lipstick.,Beauty,Lipstick,12.52
287380770,A beauty item named lipstick.,Beauty,Lipstick,13.78
772959859,A pet supplies item named dog food.,Pet Supplies,Dog Food,1.53
311096434,A outdoors item named tent.,Outdoors,Tent,2.68
753682064,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,13.88
367950436,A camera & photo item named dslr camera.,Camera & Photo,DSLR Camera,7.98
372220513,"A video, dvd & blu-ray item named dvd box set.","Video, DVD & Blu-ray",DVD Box Set,7.67
77525912,A personal computers item named laptop.,Personal Computers,Laptop,14.39
983830470,A toys & games item named lego set.,Toys & Games,Lego Set,12.91
877111763,A toys & games item named lego set.,Toys & Games,Lego Set,12.68
867308846,A watches item named watch.,Watches,Watch,5.92
819297150,A software item named antivirus software.,Software,Antivirus Software,11.44
620893461,A automotive & powersports item named car battery.,Automotive & Powersports,Car Battery,7.93
422182462,A toys & games item named lego set.,Toys & Games,Lego Set,13.45
628749600,A toys & games item named lego set.,Toys & Games,Lego Set,13.43
514355272,A fine art item named painting.,Fine Art,Painting,2.72
683318257,A pet supplies item named dog food.,Pet Supplies,Dog Food,9.78
79343119,A toys & games item named lego set.,Toys & Games,Lego Set,6.66
982546756,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,0.78
585505284,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,8.86
908359390,A independent design item named handmade jewelry.,Independent Design,Handmade Jewelry,8.6
23803395,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,1.37
679688770,A entertainment collectibles item named autographed poster.,Entertainment Collectibles,Autographed Poster,6.33
267470811,A musical instruments item named guitar.,Musical Instruments,Guitar,10.77
764515877,A collectible coins item named rare coin.,Collectible Coins,Rare Coin,3.94
447387911,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,13.18
828351439,A camera & photo item named dslr camera.,Camera & Photo,DSLR Camera,5.03
200922827,A cell phones & accessories item named smartphone case.,Cell Phones & Accessories,Smartphone Case,1.36
807012361,A office products item named printer.,Office Products,Printer,14.73
114283504,A music and dvd item named dvd box set.,Music and DVD,DVD Box Set,10.12
605382481,A entertainment collectibles item named autographed poster.,Entertainment Collectibles,Autographed Poster,11.19
431415281,A tools & home improvement item named drill.,Tools & Home Improvement,Drill,7.55
680057309,A cell phones & accessories item named smartphone case.,Cell Phones & Accessories,Smartphone Case,12.03
909890489,A camera & photo item named dslr camera.,Camera & Photo,DSLR Camera,3.2
647263660,A toys & games item named lego set.,Toys & Games,Lego Set,9.08
726245409,A entertainment collectibles item named autographed poster.,Entertainment Collectibles,Autographed Poster,8.98
169793490,A software item named antivirus software.,Software,Antivirus Software,9.47
480204188,A books item named novel.,Books,Novel,5.94
931649559,A camera & photo item named dslr camera.,Camera & Photo,DSLR Camera,14.81
715458874,A watches item named watch.,Watches,Watch,3.81
32750179,A musical instruments item named guitar.,Musical Instruments,Guitar,0.79
356582139,A video games item named video game.,Video Games,Video Game,12.46
881657210,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,6.46
144459945,A watches item named watch.,Watches,Watch,10.56
93183689,A toys & games item named lego set.,Toys & Games,Lego Set,11.85
68143162,A video games item named video game.,Video Games,Video Game,3.9
185514542,A sports item named basketball.,Sports,Basketball,5.11
808670524,A books item named novel.,Books,Novel,12.68
418207689,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,10.8
916316394,A pet supplies item named dog food.,Pet Supplies,Dog Food,2.97
62261500,A consumer electronics item named headphones.,Consumer Electronics,Headphones,2.77
843357130,A software item named antivirus software.,Software,Antivirus Software,0.8
887713887,A industrial & scientific item named lab equipment.,Industrial & Scientific,Lab Equipment,11.05
223521842,A health & personal care item named vitamins.,Health & Personal Care,Vitamins,12.1
874669484,A baby products (excluding apparel) item named stroller.,Baby Products (excluding apparel),Stroller,9.83
