Parcel with id 780281868, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 4.31.kg
Parcel with id 172509028, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 3.91.kg
Parcel with id 29605006, is a Headphones, the a description "A consumer electronics item named headphones.", in the Consumer Electronics category and has a weight of 13.09.kg
Parcel with id 848783589, is a Painting, the a description "A fine art item named painting.", in the Fine Art category and has a weight of 5.42.kg
Parcel with id 257918417, is a Smartphone Case, the a description "A cell phones & accessories item named smartphone case.", in the Cell Phones & Accessories category and has a weight of 1.15.kg
Parcel with id 58683806, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 14.72.kg
Parcel with id 993689280, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 9.1.kg
Parcel with id 306043818, is a Stroller, the a description "A baby products (excluding apparel) item named stroller.", in the Baby Products (excluding apparel) category and has a weight of 5.86.kg
Parcel with id 263483617, is a Lab Equipment, the a description "A industrial & scientific item named lab equipment.", in the Industrial & Scientific category and has a weight of 8.99.kg
Parcel with id 283500617, is a Smartphone Case, the a description "A cell phones & accessories item named smartphone case.", in the Cell Phones & Accessories category and has a weight of 14.67.kg
Parcel with id 664596993, is a Guitar, the a description "A musical instruments item named guitar.", in the Musical Instruments category and has a weight of 4.03.kg
Parcel with id 51972441, is a Autographed Poster, the a description "A entertainment collectibles item named autographed poster.", in the Entertainment Collectibles category and has a weight of 6.17.kg
Parcel with id 80202901, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 13.16.kg
Parcel with id 655078363, is a Tent, the a description "A outdoors item named tent.", in the Outdoors category and has a weight of 7.19.kg
Parcel with id 935106875, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 13.77.kg
Parcel with id 471901871, is a DSLR Camera, the a description "A camera & photo item named dslr camera.", in the Camera & Photo category and has a weight of 9.45.kg
Parcel with id 20919406, is a Lego Set, the a description "A toys & games item named lego set.", in the Toys & Games category and has a weight of 4.88.kg
Parcel with id 85255277, is a Lipstick, the a description "A beauty item named lipstick.", in the Beauty category and has a weight of 14.51.kg
Parcel with id 725381857, is a Signed Jersey, the a description "A sports collectibles item named signed jersey.", in the Sports Collectibles category and has a weight of 10.55.kg
Parcel with id 892827209, is a Autographed Poster, the a description "A entertainment collectibles item named autographed poster.", in the Entertainment Collectibles category and has a weight of 2.81.kg
Parcel with id 418101212, is a Painting, the a description "A fine art item named painting.", in the Fine Art category and has a weight of 2.04.kg
Parcel with id 793195542, is a Smartphone Case, the a description "A cell phones & accessories item named smartphone case.", in the Cell Phones & Accessories category and has a weight of 13.3.kg
Parcel with id 230811904, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 3.94.kg
Parcel with id 600952298, is a Lego Set, the a description "A toys & games item named lego set.", in the Toys & Games category and has a weight of 13.94.kg
Parcel with id 271640536, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 8.22.kg
Parcel with id 991015946, is a Stroller, the a description "A baby products (excluding apparel) item named stroller.", in the Baby Products (excluding apparel) category and has a weight of 0.71.kg
Parcel with id 618793775, is a Kindle Cover, the a description "A kindle accessories and amazon fire tv accessories item named kindle cover.", in the Kindle Accessories and Amazon Fire TV Accessories category and has a weight of 2.77.kg
Parcel with id 814063023, is a Novel, the a description "A books item named novel.", in the Books category and has a weight of 2.57.kg
Parcel with id 226482671, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 1.58.kg
Parcel with id 768716939, is a Washing Machine, the a description "A major appliances item named washing machine.", in the Major Appliances category and has a weight of 9.18.kg
Parcel with id 202744877, is a Novel, the a description "A books item named novel.", in the Books category and has a weight of 14.6.kg
Parcel with id 655284514, is a Antivirus Software, the a description "A software item named antivirus software.", in the Software category and has a weight of 12.53.kg
Parcel with id 432950332, is a Organic Snacks, the a description "A grocery & gourmet foods item named organic snacks.", in the Grocery & Gourmet Foods category and has a weight of 11.23.kg
Parcel with id 296169367, is a Drill, the a description "A tools & home improvement item named drill.", in the Tools & Home Improvement category and has a weight of 1.21.kg
Parcel with id 84807732, is a Antivirus Software, the a description "A software item named antivirus software.", in the Software category and has a weight of 0.67.kg
Parcel with id 315622020, is a Watch, the a description "A watches item named watch.", in the Watches category and has a weight of 14.78.kg
Parcel with id 829770376, is a Painting, the a description "A fine art item named painting.", in the Fine Art category and has a weight of 8.77.kg
Parcel with id 320701473, is a Garden Tools, the a description "A home & garden item named garden tools.", in the Home & Garden category and has a weight of 7.02.kg
Parcel with id 275181896, is a DVD Box Set, the a description "A video, dvd & blu-ray item named dvd box set.", in the Video, DVD & Blu-ray category and has a weight of 3.22.kg
Parcel with id 71090336, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 13.2.kg
Parcel with id 560090214, is a Lego Set, the a description "A toys & games item named lego set.", in the Toys & Games category and has a weight of 2.7.kg
Parcel with id 690372865, is a Drill, the a description "A tools & home improvement item named drill.", in the Tools & Home Improvement category and has a weight of 12.68.kg
Parcel with id 46178900, is a Painting, the a description "A fine art item named painting.", in the Fine Art category and has a weight of 7.76.kg
Parcel with id 159434084, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 9.8.kg
Parcel with id 117593159, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 2.33.kg
Parcel with id 531166637, is a DSLR Camera, the a description "A camera & photo item named dslr camera.", in the Camera & Photo category and has a weight of 9.1.kg
Parcel with id 760825720, is a Handmade Jewelry, the a description "A independent design item named handmade jewelry.", in the Independent Design category and has a weight of 11.04.kg
Parcel with id 256225266, is a Drill, the a description "A tools & home improvement item named drill.", in the Tools & Home Improvement category and has a weight of 14.54.kg
Parcel with id 470840689, is a Handmade Jewelry, the a description "A independent design item named handmade jewelry.", in the Independent Design category and has a weight of 5.87.kg
Parcel with id 190358755, is a Printer, the a description "A office products item named printer.", in the Office Products category and has a weight of 14.46.kg
Parcel with id 285384698, is a Stroller, the a description "A baby products (excluding apparel) item named stroller.", in the Baby Products (excluding apparel) category and has a weight of 6.8.kg
Parcel with id 761367853, is a Novel, the a description "A books item named novel.", in the Books category and has a weight of 12.16.kg
Parcel with id 925653661, is a Lego Set, the a description "A toys & games item named lego set.", in the Toys & Games category and has a weight of 11.48.kg
Parcel with id 577448852, is a Lipstick, the a description "A beauty item named lipstick.", in the Beauty category and has a weight of 3.99.kg
Parcel with id 359078243, is a Washing Machine, the a description "A major appliances item named washing machine.", in the Major Appliances category and has a weight of 5.11.kg
Parcel with id 387228041, is a DVD Box Set, the a description "A video, dvd & blu-ray item named dvd box set.", in the Video, DVD & Blu-ray category and has a weight of 0.97.kg
Parcel with id 137965599, is a DSLR Camera, the a description "A camera & photo item named dslr camera.", in the Camera & Photo category and has a weight of 3.08.kg
Parcel with id 128963669, is a Headphones, the a description "A consumer electronics item named headphones.", in the Consumer Electronics category and has a weight of 9.19.kg
Parcel with id 827762614, is a Basketball, the a description "A sports item named basketball.", in the Sports category and has a weight of 4.24.kg
Parcel with id 323432522, is a Kindle Cover, the a description "A kindle accessories and amazon fire tv accessories item named kindle cover.", in the Kindle Accessories and Amazon Fire TV Accessories category and has a weight of 13.43.kg
Parcel with id 575605008, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 0.67.kg
Parcel with id 210041330, is a Printer, the a description "A office products item named printer.", in the Office Products category and has a weight of 5.32.kg
Parcel with id 311310298, is a Drill, the a description "A tools & home improvement item named drill.", in the Tools & Home Improvement category and has a weight of 13.19.kg
Parcel with id 984755588, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 14.36.kg
Parcel with id 378034484, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 14.23.kg
Parcel with id 472721725, is a Stroller, the a description "A baby products (excluding apparel) item named stroller.", in the Baby Products (excluding apparel) category and has a weight of 11.2.kg
Parcel with id 988935862, is a Painting, the a description "A fine art item named painting.", in the Fine Art category and has a weight of 7.35.kg
Parcel with id 544650256, is a Lego Set, the a description "A toys & games item named lego set.", in the Toys & Games category and has a weight of 3.97.kg
Parcel with id 129847418, is a Printer, the a description "A office products item named printer.", in the Office Products category and has a weight of 12.33.kg
Parcel with id 869569032, is a DVD Box Set, the a description "A video, dvd & blu-ray item named dvd box set.", in the Video, DVD & Blu-ray category and has a weight of 14.51.kg
Parcel with id 271119446, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 13.89.kg
Parcel with id 999635950, is a Video Game, the a description "A video games item named video game.", in the Video Games category and has a weight of 1.66.kg
Parcel with id 292684466, is a DVD Box Set, the a description "A music and dvd item named dvd box set.", in the Music and DVD category and has a weight of 6.4.kg
Parcel with id 947480829, is a Vitamins, the a description "A health & personal care item named vitamins.", in the Health & Personal Care category and has a weight of 12.91.kg
Parcel with id 308974299, is a Basketball, the a description "A sports item named basketball.", in the Sports category and has a weight of 6.2.kg
Parcel with id 683390212, is a Headphones, the a description "A consumer electronics item named headphones.", in the Consumer Electronics category and has a weight of 0.97.kg
Parcel with id 967058310, is a Signed Jersey, the a description "A sports collectibles item named signed jersey.", in the Sports Collectibles category and has a weight of 6.31.kg
Parcel with id 837311789, is a Lipstick, the a description "A beauty item named lipstick.", in the Beauty category and has a weight of 2.68.kg
Parcel with id 415219465, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 5.99.kg
Parcel with id 919417788, is a Organic Snacks, the a description "A grocery & gourmet foods item named organic snacks.", in the Grocery & Gourmet Foods category and has a weight of 13.81.kg
Parcel with id 497402745, is a Drill, the a description "A tools & home improvement item named drill.", in the Tools & Home Improvement category and has a weight of 14.65.kg
Parcel with id 250900705, is a Signed Jersey, the a description "A sports collectibles item named signed jersey.", in the Sports Collectibles category and has a weight of 13.51.kg
Parcel with id 447639728, is a Car Battery, the a description "A automotive & powersports item named car battery.", in the Automotive & Powersports category and has a weight of 9.11.kg
Parcel with id 285591780, is a DVD Box Set, the a description "A video, dvd & blu-ray item named dvd box set.", in the Video, DVD & Blu-ray category and has a weight of 14.34.kg
Parcel with id 96529978, is a Kindle Cover, the a description "A kindle accessories and amazon fire tv accessories item named kindle cover.", in the Kindle Accessories and Amazon Fire TV Accessories category and has a weight of 13.45.kg
Parcel with id 102456547, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 11.31.kg
Parcel with id 197391601, is a Antivirus Software, the a description "A software item named antivirus software.", in the Software category and has a weight of 10.45.kg
Parcel with id 662731621, is a Drill, the a description "A tools & home improvement item named drill.", in the Tools & Home Improvement category and has a weight of 2.41.kg
Parcel with id 978533216, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 11.09.kg
Parcel with id 922975935, is a Handmade Jewelry, the a description "A independent design item named handmade jewelry.", in the Independent Design category and has a weight of 13.28.kg
Parcel with id 910198555, is a Organic Snacks, the a description "A grocery & gourmet foods item named organic snacks.", in the Grocery & Gourmet Foods category and has a weight of 7.68.kg
Parcel with id 88242667, is a DVD Box Set, the a description "A video, dvd & blu-ray item named dvd box set.", in the Video, DVD & Blu-ray category and has a weight of 14.36.kg
Parcel with id 469062569, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 3.72.kg
Parcel with id 334689396, is a Autographed Poster, the a description "A entertainment collectibles item named autographed poster.", in the Entertainment Collectibles category and has a weight of 12.4.kg
Parcel with id 893681198, is a Lipstick, the a description "A beauty item named lipstick.", in the Beauty category and has a weight of 10.75.kg
Parcel with id 469931450, is a Drill, the a description "A tools & home improvement item named drill.", in the Tools & Home Improvement category and has a weight of 4.23.kg
Parcel with id 249823081, is a Guitar, the a description "A musical instruments item named guitar.", in the Musical Instruments category and has a weight of 11.31.kg
Parcel with id 327814447, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 7.09.kg
Parcel with id 102511131, is a Basketball, the a description "A sports item named basketball.", in the Sports category and has a weight of 4.43.kg
Parcel with id 649297829, is a Drill, the a description "A tools & home improvement item named drill.", in the Tools & Home Improvement category and has a weight of 6.86.kg
Parcel with id 652936523, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 12.43.kg
Parcel with id 737416518, is a Printer, the a description "A office products item named printer.", in the Office Products category and has a weight of 4.04.kg
Parcel with id 870549087, is a DVD Box Set, the a description "A music and dvd item named dvd box set.", in the Music and DVD category and has a weight of 3.27.kg
Parcel with id 484902580, is a Antivirus Software, the a description "A software item named antivirus software.", in the Software category and has a weight of 9.29.kg
Parcel with id 92551010, is a Novel, the a description "A books item named novel.", in the Books category and has a weight of 0.91.kg
Parcel with id 410561459, is a Stroller, the a description "A baby products (excluding apparel) item named stroller.", in the Baby Products (excluding apparel) category and has a weight of 4.15.kg
Parcel with id 517994520, is a Lab Equipment, the a description "A industrial & scientific item named lab equipment.", in the Industrial & Scientific category and has a weight of 7.16.kg
Parcel with id 956324062, is a Stroller, the a description "A baby products (excluding apparel) item named stroller.", in the Baby Products (excluding apparel) category and has a weight of 4.22.kg
Parcel with id 287311285, is a Guitar, the a description "A musical instruments item named guitar.", in the Musical Instruments category and has a weight of 12.89.kg
Parcel with id 981549757, is a Printer, the a description "A office products item named printer.", in the Office Products category and has a weight of 8.52.kg
Parcel with id 861650507, is a Car Battery, the a description "A automotive & powersports item named car battery.", in the Automotive & Powersports category and has a weight of 9.3.kg
Parcel with id 336360382, is a Kindle Cover, the a description "A kindle accessories and amazon fire tv accessories item named kindle cover.", in the Kindle Accessories and Amazon Fire TV Accessories category and has a weight of 1.1.kg
Parcel with id 658497165, is a Basketball, the a description "A sports item named basketball.", in the Sports category and has a weight of 4.39.kg
Parcel with id 654102940, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 12.47.kg
Parcel with id 655250405, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 1.16.kg
Parcel with id 577857270, is a Headphones, the a description "A consumer electronics item named headphones.", in the Consumer Electronics category and has a weight of 14.37.kg
Parcel with id 57315354, is a Headphones, the a description "A consumer electronics item named headphones.", in the Consumer Electronics category and has a weight of 2.93.kg
Parcel with id 904879110, is a Garden Tools, the a description "A home & garden item named garden tools.", in the Home & Garden category and has a weight of 14.57.kg
Parcel with id 173252959, is a Kindle Cover, the a description "A kindle accessories and amazon fire tv accessories item named kindle cover.", in the Kindle Accessories and Amazon Fire TV Accessories category and has a weight of 10.08.kg
Parcel with id 660058818, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 8.08.kg
Parcel with id 868290276, is a Basketball, the a description "A sports item named basketball.", in the Sports category and has a weight of 10.73.kg
Parcel with id 849421909, is a Painting, the a description "A fine art item named painting.", in the Fine Art category and has a weight of 3.31.kg
Parcel with id 681866620, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 7.47.kg
Parcel with id 219653386, is a Lego Set, the a description "A toys & games item named lego set.", in the Toys & Games category and has a weight of 13.41.kg
Parcel with id 338215898, is a Handmade Jewelry, the a description "A independent design item named handmade jewelry.", in the Independent Design category and has a weight of 1.71.kg
Parcel with id 925041253, is a Lego Set, the a description "A toys & games item named lego set.", in the Toys & Games category and has a weight of 13.27.kg
Parcel with id 692380992, is a Lab Equipment, the a description "A industrial & scientific item named lab equipment.", in the Industrial & Scientific category and has a weight of 9.79.kg
Parcel with id 20043629, is a Lipstick, the a description "A beauty item named lipstick.", in the Beauty category and has a weight of 3.0.kg
Parcel with id 644845321, is a Car Battery, the a description "A automotive & powersports item named car battery.", in the Automotive & Powersports category and has a weight of 8.71.kg
Parcel with id 853250593, is a Vitamins, the a description "A health & personal care item named vitamins.", in the Health & Personal Care category and has a weight of 14.55.kg
Parcel with id 185526916, is a Car Battery, the a description "A automotive & powersports item named car battery.", in the Automotive & Powersports category and has a weight of 13.14.kg
Parcel with id 567556538, is a Washing Machine, the a description "A major appliances item named washing machine.", in the Major Appliances category and has a weight of 7.83.kg
Parcel with id 548245968, is a Kindle Cover, the a description "A kindle accessories and amazon fire tv accessories item named kindle cover.", in the Kindle Accessories and Amazon Fire TV Accessories category and has a weight of 7.74.kg
Parcel with id 115036838, is a Signed Jersey, the a description "A sports collectibles item named signed jersey.", in the Sports Collectibles category and has a weight of 12.85.kg
Parcel with id 836591333, is a Washing Machine, the a description "A major appliances item named washing machine.", in the Major Appliances category and has a weight of 5.33.kg
Parcel with id 757967280, is a Video Game, the a description "A video games item named video game.", in the Video Games category and has a weight of 2.95.kg
Parcel with id 553401078, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 0.55.kg
Parcel with id 525886784, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 13.14.kg
Parcel with id 857097696, is a Handmade Jewelry, the a description "A independent design item named handmade jewelry.", in the Independent Design category and has a weight of 10.44.kg
Parcel with id 238165398, is a Printer, the a description "A office products item named printer.", in the Office Products category and has a weight of 1.92.kg
Parcel with id 232360755, is a Lab Equipment, the a description "A industrial & scientific item named lab equipment.", in the Industrial & Scientific category and has a weight of 12.41.kg
Parcel with id 76228744, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 1.3.kg
Parcel with id 764921390, is a Washing Machine, the a description "A major appliances item named washing machine.", in the Major Appliances category and has a weight of 2.62.kg
Parcel with id 292625061, is a Smartphone Case, the a description "A cell phones & accessories item named smartphone case.", in the Cell Phones & Accessories category and has a weight of 5.37.kg
Parcel with id 676043816, is a Guitar, the a description "A musical instruments item named guitar.", in the Musical Instruments category and has a weight of 8.56.kg
Parcel with id 736698449, is a DVD Box Set, the a description "A music and dvd item named dvd box set.", in the Music and DVD category and has a weight of 9.77.kg
Parcel with id 596924460, is a Washing Machine, the a description "A major appliances item named washing machine.", in the Major Appliances category and has a weight of 12.17.kg
Parcel with id 234854589, is a Painting, the a description "A fine art item named painting.", in the Fine Art category and has a weight of 8.76.kg
Parcel with id 435745925, is a Tent, the a description "A outdoors item named tent.", in the Outdoors category and has a weight of 12.13.kg
Parcel with id 790861117, is a Novel, the a description "A books item named novel.", in the Books category and has a weight of 5.59.kg
Parcel with id 891286673, is a Washing Machine, the a description "A major appliances item named washing machine.", in the Major Appliances category and has a weight of 2.32.kg
Parcel with id 238467765, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 2.77.kg
Parcel with id 8721743, is a Vitamins, the a description "A health & personal care item named vitamins.", in the Health & Personal Care category and has a weight of 7.99.kg
Parcel with id 307362060, is a Drill, the a description "A tools & home improvement item named drill.", in the Tools & Home Improvement category and has a weight of 8.15.kg
Parcel with id 116733860, is a Signed Jersey, the a description "A sports collectibles item named signed jersey.", in the Sports Collectibles category and has a weight of 7.53.kg
Parcel with id 286792419, is a Vitamins, the a description "A health & personal care item named vitamins.", in the Health & Personal Care category and has a weight of 6.45.kg
Parcel with id 104111135, is a Vitamins, the a description "A health & personal care item named vitamins.", in the Health & Personal Care category and has a weight of 9.65.kg
Parcel with id 797289443, is a Lab Equipment, the a description "A industrial & scientific item named lab equipment.", in the Industrial & Scientific category and has a weight of 10.92.kg
Parcel with id 159433681, is a Lipstick, the a description "A beauty item named lipstick.", in the Beauty category and has a weight of 3.97.kg
Parcel with id 108435578, is a Washing Machine, the a description "A major appliances item named washing machine.", in the Major Appliances category and has a weight of 9.45.kg
Parcel with id 376625945, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 13.02.kg
Parcel with id 551239516, is a Car Battery, the a description "A automotive & powersports item named car battery.", in the Automotive & Powersports category and has a weight of 13.99.kg
Parcel with id 934430375, is a Vitamins, the a description "A health & personal care item named vitamins.", in the Health & Personal Care category and has a weight of 13.76.kg
Parcel with id 828202156, is a Rare Coin, the a description "A collectible coins item named rare coin.", in the Collectible Coins category and has a weight of 14.95.kg
Parcel with id 323953341, is a Handmade Jewelry, the a description "A independent design item named handmade jewelry.", in the Independent Design category and has a weight of 12.11.kg
Parcel with id 532422732, is a Tent, the a description "A outdoors item named tent.", in the Outdoors category and has a weight of 6.67.kg
Parcel with id 648350289, is a Signed Jersey, the a description "A sports collectibles item named signed jersey.", in the Sports Collectibles category and has a weight of 13.48.kg
Parcel with id 653882080, is a Painting, the a description "A fine art item named painting.", in the Fine Art category and has a weight of 3.32.kg
Parcel with id 855837431, is a Stroller, the a description "A baby products (excluding apparel) item named stroller.", in the Baby Products (excluding apparel) category and has a weight of 5.86.kg
Parcel with id 624080518, is a Lab Equipment, the a description "A industrial & scientific item named lab equipment.", in the Industrial & Scientific category and has a weight of 3.57.kg
Parcel with id 546728743, is a Handmade Jewelry, the a description "A independent design item named handmade jewelry.", in the Independent Design category and has a weight of 8.41.kg
Parcel with id 138857180, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 4.63.kg
Parcel with id 660438836, is a Drill, the a description "A tools & home improvement item named drill.", in the Tools & Home Improvement category and has a weight of 1.34.kg
Parcel with id 74035298, is a Novel, the a description "A books item named novel.", in the Books category and has a weight of 11.45.kg
Parcel with id 427978653, is a Vitamins, the a description "A health & personal care item named vitamins.", in the Health & Personal Care category and has a weight of 14.45.kg
Parcel with id 465793812, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 9.07.kg
Parcel with id 708963915, is a Dog Food, the a description "A pet supplies item named dog food.", in the Pet Supplies category and has a weight of 10.95.kg
Parcel with id 515435256, is a Organic Snacks, the a description "A grocery & gourmet foods item named organic snacks.", in the Grocery & Gourmet Foods category and has a weight of 5.46.kg
Parcel with id 798217058, is a Antivirus Software, the a description "A software item named antivirus software.", in the Software category and has a weight of 8.78.kg
Parcel with id 464096574, is a Garden Tools, the a description "A home & garden item named garden tools.", in the Home & Garden category and has a weight of 8.59.kg
Parcel with id 427448377, is a Laptop, the a description "A personal computers item named laptop.", in the Personal Computers category and has a weight of 2.89.kg
Parcel with id 600254542, is a Video Game, the a description "A video games item named video game.", in the Video Games category and has a weight of 8.61.kg
Parcel with id 902172999, is a Guitar, the a description "A musical instruments item named guitar.", in the Musical Instruments category and has a weight of 5.86.kg
